ARMA_CUB_TXT_FN008
2 2 5
   1.0630336823027017e+11   2.9310737086613923e+08
   2.9310737086613941e+08   8.0817705472026812e+05
   7.0752447460748818e+12   2.1117950150026806e+10
   2.1117950150026810e+10   6.3032140229416050e+07
   2.0813887345145256e+12   2.2229564422178154e+09
   2.2229564422178154e+09   2.3741531769922036e+06
   0.0000000000000000e+00   0.0000000000000000e+00
   0.0000000000000000e+00   0.0000000000000000e+00
   0.0000000000000000e+00   0.0000000000000000e+00
   0.0000000000000000e+00   0.0000000000000000e+00
