ARMA_CUB_TXT_FN008
2 2 5
   3.0929056631886087e+04   4.7826617740656843e+01
   4.7826617740656836e+01   1.5702238452266823e-01
   4.6781551587284339e+03   1.2495856593183882e+01
   1.2495856593183897e+01   8.3044203170914391e-02
   2.4589236643404342e+05   3.4440769100862155e+02
   3.4440769100862161e+02   7.1127363702230417e-01
   0.0000000000000000e+00   0.0000000000000000e+00
   0.0000000000000000e+00   0.0000000000000000e+00
   0.0000000000000000e+00   0.0000000000000000e+00
   0.0000000000000000e+00   0.0000000000000000e+00
